Wavelength [nm],Intensity(a.u.)
356.944,13894.85861
357.282,16172.65075
357.621,16518.14844
357.959,14128.90328
358.298,9469.374943
358.636,5245.433836
358.975,2424.73019
359.313,1409.112829
359.652,1222.713755
359.990,1094.882215
360.329,999.8575624
360.667,676.4466846
361.006,560.094177
361.344,567.6562323
361.683,412.847128
362.021,341.0544588
362.359,481.981348
362.698,572.3790522
363.036,551.4987291
363.375,365.1955268
363.713,521.0306534
364.051,562.3379644
364.390,579.0840675
364.728,545.72282
365.066,632.1191546
365.405,748.8000395
365.743,624.1278944
366.081,548.6296877
366.419,433.7904523
366.758,484.4292048
367.096,465.974825
367.434,510.4242488
367.772,441.9649129
368.111,362.6926889
368.449,394.4694453
368.787,281.879151
369.125,585.3165733
369.463,661.8361712
369.802,971.946261
370.140,977.9777615
370.478,1115.519273
370.816,1171.011479
371.154,1080.856193
371.492,731.3305941
371.830,543.536033
372.169,405.9214109
372.507,452.2251355
372.845,765.7882355
373.183,941.057198
373.521,1431.073111
373.859,1573.151178
374.197,2028.105134
374.535,2620.719756
374.873,3486.916977
375.211,3976.404227
375.549,3734.301508
375.887,2765.221549
376.225,1869.239354
376.563,1044.534339
376.901,823.685516
377.239,932.7586267
377.577,1345.39464
377.915,1513.265898
378.253,1867.249138
378.590,2537.184768
378.928,3844.686561
379.266,5093.228072
379.604,6456.395162
379.942,7784.121244
380.280,8147.485231
380.618,7039.31951
380.955,4275.931393
381.293,1992.846478
381.631,718.0885712
381.969,369.2150959
382.307,279.0310481
382.644,182.3643815
382.982,293.4725794
383.320,227.4693178
383.658,254.9368712
383.995,227.8231951
384.333,330.4140118
384.671,255.705735
385.008,350.73091
385.346,320.1633763
385.684,344.7528234
386.021,274.4340333
386.359,167.6737121
386.697,213.6093412
387.034,205.3970544
387.372,365.6797128
387.709,321.9897631
388.047,350.322574
388.385,306.1727661
388.722,454.0335899
389.060,328.372924
389.397,400.1532668
389.735,273.0056757
390.072,357.4713373
390.410,158.2612673
390.747,209.4913588
391.085,203.062154
391.422,278.1316783
391.760,139.5915364
392.097,246.8468031
392.435,309.3463794
392.772,398.3422707
393.110,285.4134894
393.447,446.3562915
393.784,689.7836044
394.122,842.8320624
394.459,582.9805008
394.797,555.7750619
395.134,376.6701256
395.471,372.47923
395.809,60.25304971
396.146,211.2530497
396.483,385.4833388
396.821,428.2710518
397.158,437.3230964
397.495,509.9491976
397.832,764.3871423
398.170,791.7199533
398.507,793.4093807
398.844,1064.393793
399.181,1343.068155
399.519,1580.309725
399.856,1279.931718
400.193,1096.515362
400.530,733.855543
400.867,616.1637013
401.205,321.7988672
401.542,368.47923
401.879,558.8153024
402.216,477.1020696
402.553,568.2006803
402.890,399.7536708
403.227,569.4710124
403.565,791.2508329
403.902,919.7101687
404.239,1329.237137
404.576,1284.215223
404.913,1577.016632
405.250,1705.381989
405.587,1923.35238
405.924,1813.320879
406.261,1260.011677
