Save Time: 2025-02-27 14:49:46
Units:(mV)
,CH1,CH2
Status:,Stop,Stop
Frequency:,25.888 kHz,73.925 kHz
Period:,38.629 uS,13.527 uS
PK-PK:,3.560 V,70000.000 V


546,-1160.00,3200000.00
547,-1240.00,-2800000.00
548,-1120.00,800000.00
549,-1160.00,-400000.00
550,-1040.00,400000.00
551,-1120.00,0.00
552,-960.00,400000.00
553,-1080.00,0.00
554,-920.00,400000.00
555,-1040.00,0.00
556,-800.00,400000.00
557,-960.00,0.00
558,-800.00,400000.00
559,-1000.00,0.00
560,-640.00,400000.00
561,-920.00,0.00
562,-640.00,400000.00
563,-800.00,0.00
564,-600.00,400000.00
565,-760.00,0.00
566,-600.00,6800000.00
567,-680.00,-5600000.00
568,-440.00,7600000.00
569,-680.00,-9200000.00
570,-520.00,4800000.00
571,-600.00,-11200000.00
572,-160.00,12400000.00
573,-560.00,-11600000.00
574,1680.00,28000000.00
575,-120.00,-24800000.00
576,1600.00,11200000.00
577,1520.00,-12400000.00
578,1600.00,8000000.00
579,1560.00,-7600000.00
580,1640.00,10400000.00
581,1560.00,-10000000.00
582,1640.00,8800000.00
583,1600.00,-8400000.00
584,1600.00,4400000.00
585,1560.00,-4400000.00
586,1600.00,400000.00
587,1560.00,-800000.00
588,1560.00,33200000.00
589,1520.00,-30400000.00
590,1560.00,15600000.00
591,1480.00,-14400000.00
592,1520.00,4400000.00
593,1440.00,-3600000.00
594,1480.00,1200000.00
595,1440.00,-1600000.00
596,1440.00,400000.00
597,1360.00,-400000.00
598,1400.00,0.00
599,1320.00,-400000.00
600,1320.00,0.00
601,1240.00,0.00
602,1320.00,0.00
603,1160.00,-400000.00
604,1240.00,0.00
605,1160.00,-400000.00
606,1280.00,0.00
607,960.00,-400000.00
608,1240.00,0.00
609,880.00,-400000.00
610,1160.00,0.00
611,880.00,-400000.00
612,1000.00,0.00
613,840.00,-400000.00
614,1000.00,0.00
615,800.00,0.00
616,960.00,8800000.00
617,760.00,-10400000.00
618,920.00,8800000.00
619,600.00,-8400000.00
620,800.00,21200000.00
621,720.00,-23600000.00
622,760.00,8000000.00
623,-1400.00,-9200000.00
624,-1240.00,18800000.00
625,-1360.00,-20800000.00
626,-1280.00,11600000.00
627,-1320.00,-12400000.00
628,-1320.00,6800000.00
629,-1360.00,-6400000.00
630,-1320.00,6400000.00
631,-1360.00,-6800000.00
632,-1320.00,20800000.00
633,-1360.00,-21600000.00
634,-1320.00,13200000.00
635,-1360.00,-14400000.00
636,-1280.00,18400000.00
637,-1320.00,-17200000.00
638,-1240.00,13200000.00
639,-1280.00,-12000000.00
640,-1200.00,4000000.00
641,-1280.00,-4000000.00
642,-1160.00,2000000.00
643,-1240.00,-1600000.00
644,-1120.00,1200000.00
645,-1200.00,-800000.00
646,-1080.00,400000.00
647,-1120.00,-400000.00
648,-1000.00,400000.00
649,-1080.00,0.00
650,-920.00,400000.00
651,-1040.00,0.00
652,-880.00,400000.00
653,-960.00,0.00
654,-800.00,400000.00
655,-920.00,0.00
656,-680.00,400000.00
657,-920.00,0.00
658,-720.00,400000.00
659,-800.00,0.00
660,-640.00,400000.00
661,-760.00,0.00
662,-600.00,400000.00
663,-760.00,0.00
664,-520.00,6800000.00
665,-680.00,-6400000.00
666,-480.00,4800000.00
667,-720.00,-4400000.00
668,-480.00,10800000.00
669,-560.00,-10400000.00
670,1600.00,17600000.00
671,-520.00,-16400000.00
672,1600.00,3200000.00
673,1520.00,-3200000.00
674,1600.00,6400000.00
675,1520.00,-6000000.00
676,1720.00,11600000.00
677,1440.00,-11600000.00
678,1600.00,17600000.00
679,1560.00,-16000000.00
680,1600.00,22400000.00
681,1560.00,-20400000.00
682,1600.00,7200000.00
683,1560.00,-6400000.00
684,1600.00,6000000.00
685,1560.00,-5200000.00
686,1560.00,1600000.00
687,1520.00,-1600000.00
688,1520.00,1200000.00
689,1480.00,-1600000.00
690,1520.00,18400000.00
691,1440.00,-17200000.00
692,1440.00,6400000.00
693,1400.00,-7600000.00
694,1400.00,2400000.00
695,1360.00,-2400000.00
696,1360.00,800000.00
697,1280.00,-800000.00
698,1320.00,0.00
699,1240.00,-400000.00
700,1320.00,0.00
701,1120.00,-400000.00
