Wavelength [nm],Intensity(a.u.)
558.749,208.9725091
559.080,-26.77086061
559.412,63.79003634
559.744,267.3387636
560.076,365.9995636
560.407,216.5306908
560.739,214.5600241
561.071,299.6876847
561.402,295.3575031
561.734,219.4664241
562.065,166.2118061
562.397,395.4037333
562.729,258.2212605
563.060,244.8182303
563.392,118.2941089
563.723,333.7566787
564.055,521.0943028
564.386,319.3532119
564.718,300.3834182
565.049,144.743806
565.381,200.4210667
565.712,76.44969698
566.044,74.98511515
566.375,336.1107634
566.707,431.3214302
567.038,326.9540358
567.369,192.2999758
567.701,189.2048
568.032,148.9262786
568.364,108.1319516
568.695,103.5236849
569.026,324.6709575
569.358,203.7230545
569.689,45.28438793
570.020,25.23701815
570.352,88.32317575
570.683,182.3125818
571.014,-64.40145449
571.345,-53.69599994
571.677,137.041503
572.008,119.5419879
572.339,75.59951496
572.670,-89.16933314
573.001,241.8565817
573.333,196.702303
573.664,140.0121697
573.995,109.3227394
574.326,289.4280728
574.657,328.8107878
574.988,96.59338176
575.320,119.0724121
575.651,226.9862545
575.982,284.7821577
576.313,227.0586665
576.644,335.2654788
576.975,478.5248241
577.306,445.8096485
577.637,115.9095515
577.968,128.9424727
578.299,282.3236121
578.630,347.0584001
578.961,210.7857455
579.292,141.4747394
579.623,348.7289212
579.954,280.1233697
580.285,114.5491636
580.616,-1.084315141
580.947,133.990812
581.277,108.4707151
581.608,0.318012118
581.939,10.0187393
582.270,248.7320727
582.601,244.1743273
582.932,223.3180121
583.263,272.4413819
583.593,501.0755636
583.924,403.9373091
584.255,114.8405576
584.586,77.75869087
584.916,233.2679273
585.247,223.9760969
585.578,67.80133335
585.909,84.41590317
586.239,382.5455758
586.570,366.8773332
586.901,235.3606546
587.231,176.9023758
587.562,309.5354182
587.893,286.3062788
588.223,84.48446059
588.554,217.6157091
588.885,191.5922424
589.215,130.9282908
589.546,-186.0611152
589.876,-1.189212163
590.207,312.4761456
590.537,346.2343995
590.868,320.0077092
591.198,187.2760725
591.529,400.4957574
591.859,343.3782544
592.190,218.3085573
592.520,191.7954667
592.851,169.1711758
593.181,124.5507394
593.512,-61.3502303
593.842,31.14053329
594.173,279.1260848
594.503,293.7383758
