Save Time: 2025-02-27 15:31:14
Units:(mV)
,CH1,CH2
Status:,Stop,Stop
Frequency:,91.216 kHz,26.923 kHz
Period:,10.963 uS,37.143 uS
PK-PK:,72.000 V ?,1.660 V


463,800.00,-640.00
464,0.00,-680.00
465,400.00,-600.00
466,0.00,-660.00
467,800.00,-540.00
468,0.00,-620.00
469,800.00,-480.00
470,0.00,-560.00
471,800.00,-380.00
472,0.00,-480.00
473,800.00,-300.00
474,400.00,-400.00
475,800.00,-200.00
476,400.00,-300.00
477,15600.00,-100.00
478,-24000.00,-200.00
479,11600.00,0.00
480,-11600.00,-100.00
481,9200.00,120.00
482,-8000.00,0.00
483,5600.00,220.00
484,-4800.00,120.00
485,14400.00,340.00
486,-15600.00,220.00
487,10000.00,420.00
488,-9200.00,340.00
489,11600.00,500.00
490,-12800.00,420.00
491,12400.00,600.00
492,-12800.00,500.00
493,5600.00,720.00
494,-4000.00,520.00
495,18400.00,720.00
496,-17200.00,660.00
497,16800.00,780.00
498,-14000.00,700.00
499,6800.00,920.00
500,-5600.00,620.00
501,3200.00,800.00
502,-1600.00,760.00
503,2000.00,820.00
504,-400.00,800.00
505,1200.00,820.00
506,400.00,800.00
507,1200.00,820.00
508,400.00,780.00
509,1200.00,800.00
510,400.00,760.00
511,1200.00,780.00
512,400.00,700.00
513,1200.00,720.00
514,400.00,640.00
515,1200.00,640.00
516,400.00,560.00
517,1200.00,580.00
518,400.00,480.00
519,800.00,480.00
520,400.00,380.00
521,800.00,400.00
522,400.00,300.00
523,800.00,280.00
524,400.00,180.00
525,30800.00,180.00
526,-41200.00,80.00
527,22400.00,80.00
528,-20000.00,-40.00
529,8800.00,-20.00
530,-8400.00,-140.00
531,4000.00,-140.00
532,-2800.00,-280.00
533,5200.00,-180.00
534,-3200.00,-320.00
535,30800.00,-320.00
536,-31600.00,-420.00
537,20800.00,-380.00
538,-18000.00,-500.00
539,8000.00,-480.00
540,-7600.00,-560.00
541,4000.00,-480.00
542,-2400.00,-620.00
543,12400.00,-580.00
544,-10800.00,-700.00
545,9600.00,-580.00
546,-8000.00,-740.00
547,4000.00,-620.00
548,-3200.00,-700.00
549,2000.00,-680.00
550,-800.00,-720.00
551,1200.00,-700.00
552,-400.00,-720.00
553,800.00,-680.00
554,0.00,-720.00
555,800.00,-660.00
556,0.00,-700.00
557,800.00,-620.00
558,0.00,-680.00
559,800.00,-580.00
560,0.00,-640.00
561,800.00,-500.00
562,0.00,-580.00
563,800.00,-420.00
564,400.00,-520.00
565,800.00,-340.00
566,400.00,-440.00
567,800.00,-240.00
568,400.00,-360.00
569,800.00,-140.00
570,400.00,-260.00
571,28800.00,-40.00
572,-30400.00,-160.00
573,24800.00,60.00
574,-22400.00,-40.00
575,20000.00,180.00
576,-20800.00,60.00
577,20000.00,280.00
578,-20800.00,180.00
579,14800.00,400.00
580,-12400.00,280.00
581,8800.00,460.00
582,-8400.00,360.00
583,12000.00,540.00
584,-11600.00,440.00
585,7200.00,620.00
586,-6000.00,540.00
587,14400.00,720.00
588,-2000.00,580.00
589,18000.00,740.00
590,-21200.00,680.00
591,8400.00,880.00
592,-6400.00,680.00
593,3600.00,820.00
594,-2400.00,660.00
595,2000.00,820.00
596,-400.00,780.00
597,1600.00,860.00
598,0.00,740.00
599,1200.00,800.00
600,400.00,780.00
601,1200.00,800.00
602,400.00,760.00
603,1200.00,780.00
604,400.00,720.00
605,1200.00,720.00
606,400.00,680.00
607,1200.00,680.00
608,400.00,600.00
609,1200.00,620.00
610,400.00,520.00
611,800.00,520.00
612,400.00,440.00
613,800.00,440.00
614,400.00,360.00
615,800.00,360.00
616,400.00,240.00
617,27600.00,240.00
618,-24000.00,140.00
619,14000.00,140.00
620,-13200.00,20.00
621,12000.00,40.00
622,-10000.00,-80.00
623,10000.00,-60.00
624,-13600.00,-180.00
625,18000.00,-180.00
626,-8800.00,-280.00
627,4400.00,-100.00
628,-3200.00,-380.00
629,30800.00,-320.00
630,-26800.00,-420.00
631,13200.00,-420.00
632,-11200.00,-500.00
633,5200.00,-500.00
634,-4800.00,-580.00
635,2400.00,-560.00
636,-1600.00,-620.00
637,1600.00,-500.00
638,-400.00,-700.00
639,800.00,-620.00
640,0.00,-660.00
641,800.00,-640.00
642,0.00,-680.00
643,800.00,-680.00
644,0.00,-700.00
645,400.00,-620.00
646,0.00,-740.00
647,800.00,-660.00
648,0.00,-680.00
649,800.00,-620.00
650,0.00,-680.00
651,800.00,-580.00
652,0.00,-640.00
653,800.00,-520.00
654,400.00,-600.00
655,800.00,-460.00
656,400.00,-540.00
657,800.00,-380.00
658,0.00,-460.00
659,800.00,-300.00
660,400.00,-400.00
661,800.00,-200.00
662,400.00,-300.00
663,800.00,-100.00
664,400.00,-200.00
665,30800.00,0.00
666,-38400.00,-120.00
667,20800.00,100.00
668,-20400.00,-20.00
669,15200.00,200.00
670,-14800.00,100.00
671,14800.00,320.00
672,-15200.00,200.00
673,10000.00,420.00
674,-9200.00,300.00
675,4800.00,480.00
676,-3200.00,380.00
677,14000.00,560.00
678,-800.00,400.00
679,17600.00,660.00
680,-19200.00,500.00
681,8000.00,680.00
682,-6000.00,600.00
683,3600.00,720.00
684,-2000.00,660.00
685,2000.00,820.00
686,-400.00,640.00
687,1200.00,780.00
688,0.00,740.00
689,1200.00,800.00
690,400.00,720.00
691,1200.00,820.00
692,400.00,740.00
693,1200.00,780.00
694,400.00,740.00
695,1200.00,760.00
696,400.00,720.00
697,1200.00,720.00
698,400.00,680.00
699,1200.00,700.00
700,400.00,620.00
701,1200.00,620.00
702,400.00,560.00
703,800.00,560.00
704,400.00,480.00
705,800.00,480.00
706,400.00,380.00
707,800.00,400.00
708,400.00,280.00
709,30400.00,300.00
710,-27200.00,180.00
711,20400.00,180.00
712,-17600.00,80.00
